Ticker,Exchange,Name,Months,Number of Contracts,Quandl Code
0D,CME,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts)",FGHJKMNQUVXZ,5,CHRIS/CME_0D
0F,CME,"Mini Singapore Fuel Oil 180 cst (Platts)",HJKMNQUVXZ,2,CHRIS/CME_0F
1MF,SGX,"Platts Singapore Fuel Oil 180cst Index",FGHJKMNQUVXZ,3,CHRIS/SGX_1MF
1N,CME,"Singapore Mogas 92 Unleaded (Platts)",FGHJKMNQUVXZ,4,CHRIS/CME_1N
1NB,CME,"Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread",HJKMNQU,4,CHRIS/CME_1NB
1R,CME,"Propane Non-LDH Mont Belvieu (OPIS)",FGHJKMNQUVXZ,2,CHRIS/CME_1R
1U,CME,"NY Jet Fuel (Platts) vs. NY Harbor ULSD",HJKMNQU,4,CHRIS/CME_1U
3MF,SGX,"Platts Singapore Fuel Oil 380cst Index",FGHJKMNQUVXZ,2,CHRIS/SGX_3MF
46,CME,"PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,12,CHRIS/CME_46
47,CME,"PJM METED Zone Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_47
4L,CME,"NYISO Zone F 5 MW Peak Calendar-Month Day-Ahead LBMP",HJKMNQUVXZ,2,CHRIS/CME_4L
4M,CME,"NYISO Zone F 5 MW Off-Peak Calendar-Month Day-Ahead LBMP",HJKMNQUVXZ,10,CHRIS/CME_4M
4N,CME,"PJM PECO Zone 5 MW Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_4N
4P,CME,"PJM PECO Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,16,CHRIS/CME_4P
58,CME,"NYISO Zone E 5 MW Off-Peak Calendar-Month Day-Ahead LBMP",FGHJKMNQUVXZ,12,CHRIS/CME_58
5C,CME,"Chicago ULSD (Platts) vs. NY Harbor ULSD",FGHJKMNQUVXZ,2,CHRIS/CME_5C
5Z,CME,"Columbia Gulf Mainline Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,9,CHRIS/CME_5Z
6T,CME,"In Delivery Month European Union Allowance (EUA)",HMUZ,6,CHRIS/CME_6T
6Z,CME,"Tennessee 800 Leg Natural Gas (Platts IFERC) Basis",JKUVX,2,CHRIS/CME_6Z
71,CME,"Ethanol Forward Month",FGHJKMNQUVXZ,2,CHRIS/CME_71
7H,CME,"Gasoline Euro-bob Oxy NWE Barges (Argus)",FGHJKMNQUVXZ,5,CHRIS/CME_7H
7K,CME,"Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread",FGHJKMNQUVXZ,10,CHRIS/CME_7K
7Q,CME,"Mont Belvieu Natural Gasoline (OPIS)",FGHJKMNQUVXZ,3,CHRIS/CME_7Q
7Y,CME,"NY ULSD (Argus) vs. NY Harbor ULSD",FGHJKMNQUVXZ,2,CHRIS/CME_7Y
8I,CME,"Mont Belvieu Iso-Butane (OPIS)",FGHJKMNQUVXZ,2,CHRIS/CME_8I
8Z,CME,"Southern Star Tx.-Okla.-Kan. Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_8Z
